62.0	09:18:20	2022-01-01
114.0	09:20:43	2022-01-01
20.0	09:13:02	2022-01-01
152.0	09:51:41	2022-01-01
164.0	09:30:05	2022-01-01
7.0	09:07:36	2022-01-01
61.0	09:48:35	2022-01-01
29.0	09:35:34	2022-01-01
62.0	09:52:22	2022-01-01
120.0	09:58:57	2022-01-01
67.0	09:30:30	2022-01-01
60.0	09:01:58	2022-01-01
138.0	09:36:17	2022-01-01
22.0	09:02:33	2022-01-01
171.0	09:15:18	2022-01-01
134.0	09:07:11	2022-01-01
129.0	09:33:22	2022-01-01
24.0	09:28:29	2022-01-01
99.0	09:18:38	2022-01-01
97.0	09:52:21	2022-01-01
15.0	09:00:27	2022-01-01
46.0	09:34:36	2022-01-01
55.0	09:43:18	2022-01-01
55.0	09:53:26	2022-01-01
104.0	09:36:09	2022-01-01
88.0	09:51:01	2022-01-01
58.0	09:07:41	2022-01-01
44.0	09:07:32	2022-01-01
174.0	09:15:13	2022-01-01
138.0	09:28:53	2022-01-01
58.0	09:16:52	2022-01-01
168.0	09:25:12	2022-01-01
22.0	09:08:50	2022-01-01
88.0	09:08:11	2022-01-01
67.0	09:14:42	2022-01-01
161.0	09:59:11	2022-01-01
102.0	09:27:54	2022-01-01
126.0	09:16:10	2022-01-01
12.0	09:46:06	2022-01-01
109.0	09:57:08	2022-01-01
17.0	09:41:25	2022-01-01
171.0	09:53:42	2022-01-01
158.0	09:00:26	2022-01-01
165.0	09:19:07	2022-01-01
145.0	09:12:43	2022-01-01
85.0	10:16:22	2022-01-01
3.0	10:26:04	2022-01-01
121.0	10:51:12	2022-01-01
106.0	10:04:54	2022-01-01
23.0	10:25:00	2022-01-01
47.0	10:32:03	2022-01-01
152.0	10:08:46	2022-01-01
175.0	10:19:01	2022-01-01
160.0	10:43:31	2022-01-01
120.0	10:31:11	2022-01-01
61.0	10:07:42	2022-01-01
156.0	10:00:11	2022-01-01
140.0	10:01:46	2022-01-01
132.0	10:58:36	2022-01-01
173.0	10:49:51	2022-01-01
23.0	10:45:50	2022-01-01
148.0	10:28:16	2022-01-01
104.0	10:04:22	2022-01-01
146.0	10:26:15	2022-01-01
147.0	10:12:23	2022-01-01
177.0	10:29:30	2022-01-01
22.0	10:21:05	2022-01-01
99.0	10:21:30	2022-01-01
89.0	10:36:29	2022-01-01
63.0	10:33:16	2022-01-01
144.0	10:53:54	2022-01-01
64.0	10:55:40	2022-01-01
51.0	10:40:06	2022-01-01
127.0	10:12:39	2022-01-01
113.0	10:01:23	2022-01-01
25.0	10:03:36	2022-01-01
120.0	10:40:36	2022-01-01
165.0	10:13:00	2022-01-01
119.0	10:06:51	2022-01-01
134.0	10:35:35	2022-01-01
17.0	10:00:16	2022-01-01
86.0	10:54:11	2022-01-01
174.0	10:04:47	2022-01-01
93.0	10:21:28	2022-01-01
146.0	10:11:32	2022-01-01
60.0	10:51:11	2022-01-01
23.0	10:56:44	2022-01-01
170.0	10:26:07	2022-01-01
128.0	11:54:17	2022-01-01
2.0	11:46:43	2022-01-01
7.0	11:26:52	2022-01-01
82.0	11:10:52	2022-01-01
1.0	11:50:30	2022-01-01
117.0	11:08:58	2022-01-01
81.0	11:36:46	2022-01-01
61.0	11:03:24	2022-01-01
39.0	11:57:37	2022-01-01
21.0	11:02:51	2022-01-01
16.0	11:28:19	2022-01-01
148.0	11:52:43	2022-01-01
38.0	11:30:31	2022-01-01
154.0	11:56:51	2022-01-01
155.0	11:00:18	2022-01-01
21.0	11:40:22	2022-01-01
14.0	11:54:46	2022-01-01
122.0	11:08:44	2022-01-01
129.0	11:02:49	2022-01-01
44.0	11:55:39	2022-01-01
58.0	11:06:39	2022-01-01
159.0	11:07:38	2022-01-01
64.0	11:39:05	2022-01-01
132.0	11:49:14	2022-01-01
